year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,2,607,610,-3,859,910,-11,AA,1895,N5ELAA,EWR,MIA,151,1085,6,10,2013-01-02T11:00:00Z
2013,1,2,1727,1720,7,2042,2040,2,UA,784,N438UA,EWR,PDX,351,2434,17,20,2013-01-02T22:00:00Z
2013,1,3,2129,2125,4,2233,2233,0,UA,528,N438UA,EWR,BOS,43,200,21,25,2013-01-04T02:00:00Z
2013,1,4,853,900,-7,1022,1048,-26,UA,673,N438UA,EWR,ORD,117,719,9,0,2013-01-04T14:00:00Z
2013,1,4,1819,1820,-1,2111,2150,-39,AA,119,N3FAAA,EWR,LAX,314,2454,18,20,2013-01-04T23:00:00Z
2013,1,6,1005,1000,5,1301,1321,-20,UA,499,N438UA,EWR,SEA,340,2402,10,0,2013-01-06T15:00:00Z
2013,1,6,1459,1505,-6,1620,1645,-25,WN,1197,N259WN,LGA,MKE,117,738,15,5,2013-01-06T20:00:00Z
2013,1,7,1241,1245,-4,1444,1514,-30,EV,4950,N398CA,EWR,ATL,104,746,12,45,2013-01-07T17:00:00Z
2013,1,9,625,630,-5,1123,1140,-17,AA,413,N3FAAA,JFK,SJU,193,1598,6,30,2013-01-09T11:00:00Z
2013,1,9,658,700,-2,834,839,-5,UA,457,N438UA,LGA,ORD,137,733,7,0,2013-01-09T12:00:00Z
2013,1,9,1008,1015,-7,1314,1340,-26,US,75,N652AW,EWR,PHX,290,2133,10,15,2013-01-09T15:00:00Z
2013,1,10,713,715,-2,1022,1035,-13,AA,825,N3FAAA,JFK,FLL,156,1069,7,15,2013-01-10T12:00:00Z
2013,1,10,1716,1720,-4,1851,1915,-24,AA,1351,N3FAAA,JFK,ORD,126,740,17,20,2013-01-10T22:00:00Z
2013,1,10,1823,1805,18,1941,1935,6,WN,389,N259WN,LGA,MDW,112,725,18,5,2013-01-10T23:00:00Z
2013,1,11,1011,1015,-4,1348,1340,8,US,75,N652AW,EWR,PHX,317,2133,10,15,2013-01-11T15:00:00Z
2013,1,11,1119,1125,-6,1239,1305,-26,AA,327,N3FAAA,LGA,ORD,118,733,11,25,2013-01-11T16:00:00Z
2013,1,11,1753,1800,-7,1911,1939,-28,UA,691,N438UA,LGA,ORD,120,733,18,0,2013-01-11T23:00:00Z
2013,1,11,1859,1900,-1,2038,2051,-13,DL,1255,N370NB,LGA,PIT,61,335,19,0,2013-01-12T00:00:00Z
2013,1,12,1012,1015,-3,1240,1251,-11,DL,1705,N370NB,LGA,MSY,163,1183,10,15,2013-01-12T15:00:00Z
2013,1,12,1350,1355,-5,1535,1615,-40,EV,5469,N398CA,LGA,MEM,143,963,13,55,2013-01-12T18:00:00Z
2013,1,12,1810,1720,50,2049,2033,16,DL,1779,N370NB,LGA,FLL,141,1076,17,20,2013-01-12T22:00:00Z
2013,1,12,1828,1829,-1,2017,2032,-15,US,681,N652AW,EWR,CLT,80,529,18,29,2013-01-12T23:00:00Z
