name,lon,lat,popln
Riyadh,46.6752957,24.7135517,4205961
Jeddah,39.19250479999999,21.485811000000002,2867446
Mecca,39.8579118,21.3890824,1323624
Medina,39.5691841,24.5246542,1300000
Sultanah,39.58,24.5,946697
Dammam,50.088794300000004,26.4206828,768602
Ta'if,40.42481919999999,21.2840782,530848
Tabuk,36.5661908,28.3835079,455450
Al Kharj,47.3247876,24.1576043,425300
Buraydah,43.98181200000001,26.3592309,391336
Khamis Mushait,42.7662325,18.3093394,387553
Al Hufuf,49.5887652,25.380026,293179
Al Mubarraz,49.5483671,25.4051051,290802
Hafar Al-Batin,45.9627113,28.3784149,271642
Ha'il,41.7208243,27.5114102,267005
Najran,44.2289441,17.5656036,258573
Al Jubayl,49.5687416,26.9597709,237274
Al Jubayl,49.5687416,26.9597709,9108
Abha,42.5117238,18.2464685,210886
Yanbu,38.1899782,24.0231757,200161
Khobar,50.1971381,26.2171906,165799
Arar,41.0595636,30.9599447,148540
Sakakah,40.1043057,29.87800309999999,128332
Jizan,42.57056740000001,16.8893586,105198
Qurayyat,37.3613533,31.3296352,102903
Sabt Alalayah,41.9692387,19.5718194,100000
Dhahran,50.0393017,26.2361248,99540
Al Qatif,49.998236,26.5764917,98259
Al Bahah,41.4712733,20.0217407,88419
Tarut,50.0495725,26.5642157,85371
Qal`at Bishah,42.5901672,19.9763524,81828
Ar Rass,43.5222313,25.8517475,81728
Ash Shafa,40.3088658,21.0701785,72190
Sayhat,50.0282017,26.4889127,66702
Al Mithnab,44.22421060000001,25.8568978,60870
Al Khafji,48.4887224,28.4256618,54857
Ad Dawadimi,44.4181786,24.5167005,54474
Sabya,42.6268969,17.1547981,54108
Az Zulfi,44.831834,26.3098543,53144
Abu `Arish,42.84429129999999,16.9692482,49171
Safwa,49.9260552,26.6600058,45876
Afif,42.9124955,23.9052203,45525
Rabigh,39.0189623,22.7906701,41759
Rahimah,49.998236,26.773008,41188
Turaif,38.6634693,31.6660775,40819
Tubarjal,38.2216491,30.515478,40019
Ad Dilam,47.1557087,23.976619,35371
Umluj,37.2651084,25.0500064,33874
Al-`Ula,37.929482,26.6031391,32413
Abqaiq,49.67072049999999,25.9168154,29474
Badr Hunayn,38.79629240000001,23.7730463,27257
Samitah,42.9353694,16.601837,26945
Al Wajh,36.4688958,26.2366058,26636
Al Bukayriyah,43.6567219,26.1616245,25153
An Nimas,42.1671483,19.1134285,24153
As Sulayyil,45.5629394,20.4668679,24097
Turabah,41.62114,21.2075957,23235
Al Jumum,40.0633101,22.0009974,22207
Duba,35.7243073,27.3457474,22000
At Taraf,45.079162,23.885942,21386
Qaisumah,46.1201776,28.3056714,20685
Al Battaliyah,49.63665,25.4426952,16606
Al Munayzilah,45.079162,23.885942,16296
Al Majaridah,41.8004409,18.8988955,14830
Tanumah,42.1770246,18.9290182,13594
Al Qurayn,43.3584284,26.0172503,12013
Umm as Sahik,49.9218761,26.6527223,11813
Sajir,44.6019551,25.1858677,11717
Al Awjam,49.94261760000001,26.5627346,11460
Farasan,42.120984,16.701895,10527
Al Mindak,45.079162,23.885942,9218
Al Artawiyah,45.3463405,26.5017588,9152
Al Jubayl,49.5687416,26.9597709,237274
Al Jubayl,49.5687416,26.9597709,9108
Al Qarah,49.675763,25.4187503,9106
Marat,45.4639333,25.0699284,8885
Al Jafr,49.7209167,25.3796191,8715
Suwayr,40.380291,30.11472299999999,8515
Tumayr,45.8725214,25.7109965,8246
At Tubi,49.99538740000001,26.5546554,7740
Al Jaradiyah,42.9136576,16.5831017,7396
Al Muwayh,41.58969099999999,22.74176,7364
As Saffaniyah,48.6608648,27.9378084,7014
Al Hada,40.2803491,21.3648223,6885
Al Markaz,49.7312857,25.3971142,6464
Misliyah,42.5583138,17.4602509,6117
Al Mutayrifi,49.5571496,25.4785823,5962
Mizhirah,42.7339679,16.8268011,5529
Ad Darb,42.2658282,17.7336268,5378
Julayjilah,49.5991212,25.50222,5359
Mulayjah,48.4287702,27.2668568,5247
Al Fuwayliq,43.2545686,26.4434686,5205
Tabalah,42.22637830000001,19.9969372,5151
Adh Dhibiyah,43.1650285,26.0319128,5068
Wed Alnkil,45.079162,23.885942,1500
Ain AlBaraha,43.7916668,24.7559089,1500
shokhaib,45.079162,23.885942,1500
